epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7479,1.09852,2.3343,1.61663,0.00333,1,0.39806,0.16598,1.61398,3.28912,2.82024,0.00062,0.00062,0.00062
2,37.2405,1.19255,1.70568,1.68246,0.64385,0.54525,0.74943,0.27434,1.74994,2.84195,3.11383,0.00123505,0.00123505,0.00123505
3,43.9017,1.26753,1.61122,1.71943,0.51909,0.7,0.44253,0.1741,1.72707,2.95492,2.83787,0.00182476,0.00182476,0.00182476
4,49.199,1.24517,1.51508,1.70766,0.66951,0.5,0.59432,0.31771,1.33406,3.06314,2.28609,0.0018812,0.0018812,0.0018812
5,55.8106,1.18606,1.3958,1.66289,0.59485,0.58841,0.6342,0.32139,1.39445,2.74434,2.51581,0.0018416,0.0018416,0.0018416
6,61.1696,1.19396,1.3531,1.66776,0.6449,0.8,0.67155,0.27365,1.63853,2.33547,2.84336,0.001802,0.001802,0.001802
7,66.8158,1.23231,1.36462,1.69093,0.99519,0.8,0.85216,0.36587,2.0508,1.80862,3.60062,0.0017624,0.0017624,0.0017624
8,73.1111,1.1474,1.2451,1.60985,0.59152,0.9,0.77061,0.29554,1.56729,1.96516,2.77383,0.0017228,0.0017228,0.0017228
9,78.4112,1.14564,1.1763,1.62891,0.98603,1,0.995,0.5632,1.33274,1.45966,2.36034,0.0016832,0.0016832,0.0016832
10,84.9589,1.18589,1.1892,1.64863,0.64006,0.9,0.80031,0.40036,1.76397,2.34818,2.62647,0.0016436,0.0016436,0.0016436
11,90.3063,1.07,1.06137,1.5614,1,0.88913,0.91674,0.61863,1.17941,1.34244,2.02597,0.001604,0.001604,0.001604
12,96.9535,1.13846,1.15323,1.59596,0.45795,0.6,0.51943,0.22151,1.91068,2.82754,2.63994,0.0015644,0.0015644,0.0015644
13,102.345,1.10014,1.05596,1.55288,0.99328,1,0.995,0.66066,1.10869,1.04032,2.01832,0.0015248,0.0015248,0.0015248
14,108.839,1.10685,1.08337,1.59497,0.90887,0.99754,0.98591,0.62592,1.21436,0.88791,2.26815,0.0014852,0.0014852,0.0014852
15,114.356,1.07285,1.0603,1.54544,0.96532,0.8,0.90969,0.57849,1.11731,1.26945,2.08314,0.0014456,0.0014456,0.0014456
16,120.258,1.11563,0.98082,1.60033,0.99198,1,0.995,0.69041,1.21638,1.00303,1.96633,0.001406,0.001406,0.001406
17,126.649,1.06634,0.9611,1.52907,0.65754,0.8,0.77067,0.44267,1.30621,1.33741,1.98341,0.0013664,0.0013664,0.0013664
18,132.045,0.98789,0.88666,1.49133,0.97434,0.9,0.94763,0.70348,0.8976,1.05432,1.67919,0.0013268,0.0013268,0.0013268
19,138.657,1.0115,0.89174,1.47673,0.86308,0.8,0.86056,0.56021,1.14232,1.26511,1.88587,0.0012872,0.0012872,0.0012872
20,143.903,0.99733,0.91257,1.51764,0.99458,1,0.995,0.57509,1.56761,0.79455,2.65147,0.0012476,0.0012476,0.0012476
21,150.516,1.0101,0.89813,1.49224,0.88935,1,0.97682,0.6533,1.05058,0.93242,1.79688,0.001208,0.001208,0.001208
22,155.815,1.0025,0.90754,1.4873,0.89564,1,0.98591,0.69271,1.07729,0.87014,1.8385,0.0011684,0.0011684,0.0011684
23,162.55,0.90649,0.78288,1.41707,0.98044,0.9,0.93848,0.63744,1.17566,0.96684,1.99919,0.0011288,0.0011288,0.0011288
24,167.904,0.99182,0.81816,1.49019,0.8943,1,0.97682,0.66631,1.08507,0.85887,1.85036,0.0010892,0.0010892,0.0010892
25,174.13,0.92202,0.76562,1.42129,0.87744,0.9,0.9375,0.67732,1.00989,0.89679,1.87869,0.0010496,0.0010496,0.0010496
26,179.75,0.9472,0.78115,1.4562,0.98957,1,0.995,0.77082,0.93138,0.63869,1.57464,0.00101,0.00101,0.00101
